DATETIME,MAC-ADDRESS,BOSA-SERIAL,TUNINGPOWER-RESULT,TUNINGER-RESULT,TXDDMI-RESULT,SIGNALOFF-RESULT,WRITEFLASH-RESULT,VERIFYSIGNAL-RESULT,WRITEMAC-RESULT,ERROR-CODE,TOTAL-RESULT,TOTAL-TIME
2018/05/30 10:35:47,A4F4C2909090,G707893Y000004,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(: COT-ER-0001),FAIL,06
2018/05/30 10:36:11,A4F4C2909090,G707893Y000004,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(: COT-ER-0001),FAIL,06
2018/05/30 10:37:22,A4F4C2909090,G707893Y000004,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(: COT-ER-0001),FAIL,06
2018/05/30 10:38:25,A4F4C2909090,G707893Y000004,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(: COT-ER-0001),FAIL,06
2018/05/30 10:39:09,A4F4C2909090,G707893Y000004,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(: COT-ER-0001),FAIL,06
2018/05/30 10:40:16,A4F4C2909090,G707893Y000004,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(: COT-ER-0001),FAIL,010
2018/05/30 10:42:14,A4F4C2909090,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,029
2018/05/30 10:53:26,A4F4C2909090,G707893Y000004,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(: COT-ER-0001),FAIL,06
2018/05/30 10:55:50,A4F4C2909090,G707893Y000004,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(: COT-ER-0001),FAIL,07
2018/05/30 10:56:34,A4F4C2909090,G707893Y000004,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(: COT-ER-0001),FAIL,07
2018/05/30 10:57:30,A4F4C2909090,G707893Y000004,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(: COT-ER-0001),FAIL,06
2018/05/30 11:00:43,A4F4C2909090,G707893Y000004,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(: COT-ER-0001),FAIL,011
2018/05/30 11:02:50,A4F4C2909090,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,042
2018/05/30 11:06:20,A4F4C2909090,G707893Y000004,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(: COT-ER-0001),FAIL,06
2018/05/30 11:16:47,A4F4C2909090,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,035
2018/05/30 11:20:04,A4F4C2909090,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,021
2018/05/30 11:21:20,A4F4C2909090,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,022
2018/05/30 11:21:44,A4F4C2909090,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,021
2018/05/30 11:22:48,A4F4C2909090,G707893Y000004,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(: COT-ER-0001),FAIL,08
2018/05/30 11:23:32,A4F4C2909090,G707893Y000004,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(: COT-ER-0001),FAIL,09
2018/05/30 11:24:30,A4F4C2909090,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,021
2018/05/30 11:24:57,A4F4C2909090,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,023
2018/05/30 11:26:10,A4F4C2909090,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,021
2018/05/30 11:26:35,A4F4C2909090,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,021
2018/05/30 11:26:55,A4F4C2909090,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,017
2018/05/30 11:29:47,00AABB012340,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,023
2018/05/30 11:30:26,00AABB012340,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,020
2018/05/30 11:30:47,00AABB012340,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,017
2018/05/30 11:31:12,00AABB012340,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,020
2018/05/30 11:31:40,00AABB012340,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,021
2018/05/30 11:40:03,A4F4C2909091,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,018
2018/05/30 11:45:42,A4F4C2909091,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,019
2018/05/30 11:47:56,A4F4C2909091,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,015
2018/05/30 11:51:18,A4F4C2909091,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,018
2018/05/30 11:55:34,A4F4C2909090,--,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,021
2018/05/30 11:56:01,A4F4C2909090,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,020
2018/05/30 11:58:35,A4F4C2909090,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,024
2018/05/30 13:48:09,A4F4C2909090,G707893Y000004,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS,019
